Matrix,Rows,Columns,nnz,Kernel,Grid_Size,Block_Size,Avg_Time(ms),Avg_Err,GFLOP/s,Bandwidth(GB/s)
cant.mtx,62451,62451,4007383,coo seg,2237,448,0.0923648,1.96559e-07,86.7729,489.919
cant.mtx,62451,62451,4007383,coo flat,8349,480,0.651674,2.01253e-07,12.2987,69.4386
cant.mtx,62451,62451,4007383,csr scalar,131,480,0.121446,1.33546e-07,65.9943,251.595
cant.mtx,62451,62451,4007383,csr vector,4164,480,0.122061,2.07705e-07,65.6621,250.328
cant.mtx,62451,62451,4007383,coo seg,2088,480,0.0898048,1.96559e-07,89.2465,503.885
cant.mtx,62451,62451,4007383,coo flat,7827,512,0.641843,1.99201e-07,12.4871,70.5021
cant.mtx,62451,62451,4007383,csr scalar,122,512,0.121242,1.33546e-07,66.1058,252.02
cant.mtx,62451,62451,4007383,csr vector,3904,512,0.116224,2.07705e-07,68.9596,262.9
cant.mtx,62451,62451,4007383,coo seg,1957,512,0.088064,1.96559e-07,91.0107,513.845
cant.mtx,62451,62451,4007383,coo flat,7367,544,0.682291,1.94186e-07,11.7468,66.3225
cant.mtx,62451,62451,4007383,csr scalar,115,544,0.116019,1.33546e-07,69.0814,263.364
cant.mtx,62451,62451,4007383,csr vector,3674,544,0.13097,2.07705e-07,61.1956,233.301
cant.mtx,62451,62451,4007383,coo seg,1842,544,0.0974848,1.96559e-07,82.2155,464.188
cant.mtx,62451,62451,4007383,coo flat,6958,576,0.68137,1.95786e-07,11.7627,66.4122
cant.mtx,62451,62451,4007383,csr scalar,109,576,0.100045,1.33546e-07,80.1118,305.416
cant.mtx,62451,62451,4007383,csr vector,3470,576,0.127386,2.07705e-07,62.9174,239.864
cant.mtx,62451,62451,4007383,coo seg,1740,576,0.0950272,1.96559e-07,84.3418,476.193
cant.mtx,62451,62451,4007383,coo flat,6592,608,0.667648,1.96106e-07,12.0045,67.7772
cant.mtx,62451,62451,4007383,csr scalar,103,608,0.100864,1.33546e-07,79.4611,302.935
cant.mtx,62451,62451,4007383,csr vector,3287,608,0.125747,2.07705e-07,63.7371,242.99
cant.mtx,62451,62451,4007383,coo seg,1648,608,0.093696,1.96559e-07,85.5401,482.959
cant.mtx,62451,62451,4007383,coo flat,6262,640,0.663552,1.96791e-07,12.0786,68.1955
cant.mtx,62451,62451,4007383,csr scalar,98,640,0.103731,1.33546e-07,77.2648,294.562
cant.mtx,62451,62451,4007383,csr vector,3123,640,0.122163,2.07705e-07,65.607,250.119
cant.mtx,62451,62451,4007383,coo seg,1566,640,0.091136,1.96559e-07,87.9429,496.525
cant.mtx,62451,62451,4007383,coo flat,5964,672,0.648192,2.00562e-07,12.3648,69.8116
cant.mtx,62451,62451,4007383,csr scalar,93,672,0.105472,1.33546e-07,75.9895,289.7
cant.mtx,62451,62451,4007383,csr vector,2974,672,0.11991,2.07705e-07,66.8396,254.818
cant.mtx,62451,62451,4007383,coo seg,1491,672,0.0908288,1.96559e-07,88.2404,498.204
cant.mtx,62451,62451,4007383,coo flat,5693,704,0.692019,1.8447e-07,11.5817,65.3902
cant.mtx,62451,62451,4007383,csr scalar,89,704,0.108339,1.33546e-07,73.9784,282.033
cant.mtx,62451,62451,4007383,csr vector,2839,704,0.139776,2.07705e-07,57.3401,218.602
cant.mtx,62451,62451,4007383,coo seg,1424,704,0.105984,1.96559e-07,75.6224,426.963
cant.mtx,62451,62451,4007383,coo flat,5445,736,0.69591,1.84817e-07,11.517,65.0246
cant.mtx,62451,62451,4007383,csr scalar,85,736,0.114688,1.33546e-07,69.8832,266.421
cant.mtx,62451,62451,4007383,csr vector,2716,736,0.138342,2.07705e-07,57.9343,220.867
cant.mtx,62451,62451,4007383,coo seg,1362,736,0.10496,1.96559e-07,76.3602,431.129
cant.mtx,62451,62451,4007383,coo flat,5218,768,0.69079,1.88604e-07,11.6023,65.5065
cant.mtx,62451,62451,4007383,csr scalar,82,768,0.120525,1.33546e-07,66.4989,253.519
cant.mtx,62451,62451,4007383,csr vector,2603,768,0.133018,2.07705e-07,60.2534,229.709
cant.mtx,62451,62451,4007383,coo seg,1305,768,0.102912,1.96559e-07,77.8798,439.709
cant.mtx,62451,62451,4007383,coo flat,5010,800,0.695706,1.90826e-07,11.5203,65.0437
cant.mtx,62451,62451,4007383,csr scalar,79,800,0.127386,1.33546e-07,62.9174,239.864
cant.mtx,62451,62451,4007383,csr vector,2499,800,0.134042,2.07705e-07,59.7931,227.954
cant.mtx,62451,62451,4007383,coo seg,1253,800,0.101581,1.96559e-07,78.9004,445.471
cant.mtx,62451,62451,4007383,coo flat,4817,832,0.689152,1.87576e-07,11.6299,65.6623
cant.mtx,62451,62451,4007383,csr scalar,76,832,0.133632,1.33546e-07,59.9764,228.652
cant.mtx,62451,62451,4007383,csr vector,2402,832,0.13097,2.07705e-07,61.1956,233.301
cant.mtx,62451,62451,4007383,coo seg,1205,832,0.0990208,1.96559e-07,80.9402,456.988
cant.mtx,62451,62451,4007383,coo flat,4639,864,0.683315,1.89114e-07,11.7292,66.2232
cant.mtx,62451,62451,4007383,csr scalar,73,864,0.144794,1.33546e-07,55.353,211.026
cant.mtx,62451,62451,4007383,csr vector,2313,864,0.126669,2.07705e-07,63.2734,241.222
cant.mtx,62451,62451,4007383,coo seg,1160,864,0.0985088,1.96559e-07,81.3609,459.363
cant.mtx,62451,62451,4007383,coo flat,4473,896,0.674611,1.91515e-07,11.8806,67.0776
cant.mtx,62451,62451,4007383,csr scalar,70,896,0.154829,1.33546e-07,51.7653,197.349
cant.mtx,62451,62451,4007383,csr vector,2231,896,0.124621,2.07705e-07,64.3132,245.186
cant.mtx,62451,62451,4007383,coo seg,1119,896,0.0960512,1.96559e-07,83.4426,471.116
cant.mtx,62451,62451,4007383,coo flat,4319,928,0.666931,1.99106e-07,12.0174,67.85
cant.mtx,62451,62451,4007383,csr scalar,68,928,0.161894,1.33546e-07,49.5061,188.736
cant.mtx,62451,62451,4007383,csr vector,2154,928,0.125542,2.07705e-07,63.8411,243.386
cant.mtx,62451,62451,4007383,coo seg,1080,928,0.095744,1.96559e-07,83.7104,472.628
cant.mtx,62451,62451,4007383,coo flat,4175,960,0.657613,1.97371e-07,12.1877,68.8115
cant.mtx,62451,62451,4007383,csr scalar,66,960,0.16896,1.33546e-07,47.4359,180.843
cant.mtx,62451,62451,4007383,csr vector,2082,960,0.121856,2.07705e-07,65.7724,250.749
cant.mtx,62451,62451,4007383,coo seg,1044,960,0.0941056,1.96559e-07,85.1678,480.857
cant.mtx,62451,62451,4007383,coo flat,4040,992,0.647885,1.97583e-07,12.3707,69.8447
cant.mtx,62451,62451,4007383,csr scalar,63,992,0.177869,1.33546e-07,45.06,171.785
cant.mtx,62451,62451,4007383,csr vector,2015,992,0.120115,2.07705e-07,66.7257,254.383
cant.mtx,62451,62451,4007383,coo seg,1010,992,0.0928768,1.96559e-07,86.2946,487.218
cant.mtx,62451,62451,4007383,coo flat,3914,1024,0.636314,1.97779e-07,12.5956,71.1148
cant.mtx,62451,62451,4007383,csr scalar,61,1024,0.167936,1.33546e-07,47.7251,181.946
cant.mtx,62451,62451,4007383,csr vector,1952,1024,0.116838,2.07705e-07,68.597,261.517
cant.mtx,62451,62451,4007383,coo seg,979,1024,0.0914432,1.96559e-07,87.6475,494.857
cant.mtx,62451,62451,4007383,CuSparse,0,0,0.0618496,2.03188e-07,129.585,494.026
consph.mtx,83334,83334,6010480,coo flat,187828,32,1.293,4.74642e-07,9.29692,52.4308
consph.mtx,83334,83334,6010480,csr scalar,2605,32,0.138752,2.29764e-07,86.6363,329.458
consph.mtx,83334,83334,6010480,csr vector,83334,32,0.341402,4.54248e-07,35.2106,133.898
consph.mtx,83334,83334,6010480,coo seg,46957,32,0.197734,4.85317e-07,60.7935,342.85
consph.mtx,83334,83334,6010480,coo flat,93914,64,0.949555,4.60155e-07,12.6596,71.3947
consph.mtx,83334,83334,6010480,csr scalar,1303,64,0.15145,2.29764e-07,79.3727,301.836
consph.mtx,83334,83334,6010480,csr vector,41667,64,0.179917,4.54248e-07,66.814,254.078
consph.mtx,83334,83334,6010480,coo seg,23479,64,0.126566,4.85317e-07,94.9775,535.634
consph.mtx,83334,83334,6010480,coo flat,62610,96,0.955802,4.40854e-07,12.5768,70.9281
consph.mtx,83334,83334,6010480,csr scalar,869,96,0.148173,2.29764e-07,81.128,308.511
consph.mtx,83334,83334,6010480,csr vector,27778,96,0.168346,4.54248e-07,71.4064,271.542
consph.mtx,83334,83334,6010480,coo seg,15653,96,0.125235,4.85317e-07,95.9871,541.327
consph.mtx,83334,83334,6010480,coo flat,46957,128,0.96041,4.43491e-07,12.5165,70.5878
consph.mtx,83334,83334,6010480,csr scalar,652,128,0.15104,2.29764e-07,79.5879,302.654
consph.mtx,83334,83334,6010480,csr vector,20834,128,0.161075,4.54248e-07,74.6295,283.798
consph.mtx,83334,83334,6010480,coo seg,11740,128,0.125338,4.85317e-07,95.9087,540.885
consph.mtx,83334,83334,6010480,coo flat,37566,160,0.991949,4.56032e-07,12.1185,68.3435
consph.mtx,83334,83334,6010480,csr scalar,521,160,0.153702,2.29764e-07,78.2093,297.412
consph.mtx,83334,83334,6010480,csr vector,16667,160,0.169472,4.54248e-07,70.9318,269.737
consph.mtx,83334,83334,6010480,coo seg,9392,160,0.126874,4.85317e-07,94.7475,534.337
consph.mtx,83334,83334,6010480,coo flat,31305,192,1.00762,4.4825e-07,11.9301,67.2808
consph.mtx,83334,83334,6010480,csr scalar,435,192,0.153395,2.29764e-07,78.366,298.007
consph.mtx,83334,83334,6010480,csr vector,13889,192,0.164557,4.54248e-07,73.0505,277.794
consph.mtx,83334,83334,6010480,coo seg,7827,192,0.127283,4.85317e-07,94.4426,532.617
consph.mtx,83334,83334,6010480,coo flat,26833,224,0.995021,4.54033e-07,12.0811,68.1325
consph.mtx,83334,83334,6010480,csr scalar,373,224,0.157082,2.29764e-07,76.5268,291.014
consph.mtx,83334,83334,6010480,csr vector,11905,224,0.164352,4.54248e-07,73.1415,278.14
consph.mtx,83334,83334,6010480,coo seg,6709,224,0.126259,4.85317e-07,95.2086,536.937
consph.mtx,83334,83334,6010480,coo flat,23479,256,1.00403,4.50159e-07,11.9727,67.521
consph.mtx,83334,83334,6010480,csr scalar,326,256,0.153907,2.29764e-07,78.1052,297.016
consph.mtx,83334,83334,6010480,csr vector,10417,256,0.151347,4.54248e-07,79.4264,302.04
consph.mtx,83334,83334,6010480,coo seg,5870,256,0.125133,4.85317e-07,96.0656,541.77
consph.mtx,83334,83334,6010480,coo flat,20870,288,1.01356,4.64645e-07,11.8602,66.8866
consph.mtx,83334,83334,6010480,csr scalar,290,288,0.161178,2.29764e-07,74.5821,283.618
consph.mtx,83334,83334,6010480,csr vector,9260,288,0.162611,4.54248e-07,73.9246,281.118
consph.mtx,83334,83334,6010480,coo seg,5218,288,0.126362,4.85317e-07,95.1314,536.502
consph.mtx,83334,83334,6010480,coo flat,18783,320,1.03578,4.53675e-07,11.6058,65.4516
consph.mtx,83334,83334,6010480,csr scalar,261,320,0.157082,2.29764e-07,76.5268,291.014
consph.mtx,83334,83334,6010480,csr vector,8334,320,0.168346,4.54248e-07,71.4064,271.542
consph.mtx,83334,83334,6010480,coo seg,4696,320,0.128819,4.85317e-07,93.3165,526.266
consph.mtx,83334,83334,6010480,coo flat,17076,352,1.05984,4.51092e-07,11.3422,63.9655
consph.mtx,83334,83334,6010480,csr scalar,237,352,0.171725,2.29764e-07,70.0013,266.199
consph.mtx,83334,83334,6010480,csr vector,7576,352,0.174899,4.54248e-07,68.7308,261.367
consph.mtx,83334,83334,6010480,coo seg,4269,352,0.13312,4.85317e-07,90.3017,509.264
consph.mtx,83334,83334,6010480,coo flat,15653,384,1.05605,4.49172e-07,11.3829,64.195
consph.mtx,83334,83334,6010480,csr scalar,218,384,0.160358,2.29764e-07,74.9631,285.067
consph.mtx,83334,83334,6010480,csr vector,6945,384,0.164762,4.54248e-07,72.9597,277.449
consph.mtx,83334,83334,6010480,coo seg,3914,384,0.129331,4.85317e-07,92.9471,524.183
consph.mtx,83334,83334,6010480,coo flat,14449,416,1.06947,4.55202e-07,11.2402,63.3898
consph.mtx,83334,83334,6010480,csr scalar,201,416,0.169677,2.29764e-07,70.8462,269.412
consph.mtx,83334,83334,6010480,csr vector,6411,416,0.179405,4.54248e-07,67.0047,254.803
consph.mtx,83334,83334,6010480,coo seg,3613,416,0.137421,4.85317e-07,87.4756,493.326
consph.mtx,83334,83334,6010480,coo flat,13417,448,1.0754,4.48706e-07,11.1781,63.0397
consph.mtx,83334,83334,6010480,csr scalar,187,448,0.180019,2.29764e-07,66.776,253.933
consph.mtx,83334,83334,6010480,csr vector,5953,448,0.175718,4.54248e-07,68.4104,260.149
consph.mtx,83334,83334,6010480,coo seg,3355,448,0.133734,4.85317e-07,89.8868,506.924
consph.mtx,83334,83334,6010480,coo flat,12522,480,1.05165,4.60376e-07,11.4306,64.4638
consph.mtx,83334,83334,6010480,csr scalar,174,480,0.175206,2.29764e-07,68.6103,260.909
consph.mtx,83334,83334,6010480,csr vector,5556,480,0.169882,4.54248e-07,70.7608,269.087
consph.mtx,83334,83334,6010480,coo seg,3131,480,0.130355,4.85317e-07,92.2169,520.065
consph.mtx,83334,83334,6010480,coo flat,11740,512,1.03148,4.51042e-07,11.6541,65.7245
consph.mtx,83334,83334,6010480,csr scalar,163,512,0.157901,2.29764e-07,76.1298,289.504
consph.mtx,83334,83334,6010480,csr vector,5209,512,0.159027,4.54248e-07,75.5906,287.453
consph.mtx,83334,83334,6010480,coo seg,2935,512,0.12759,4.85317e-07,94.2152,531.335
consph.mtx,83334,83334,6010480,coo flat,11049,544,1.10725,4.35038e-07,10.8566,61.2266
consph.mtx,83334,83334,6010480,csr scalar,154,544,0.162406,2.29764e-07,74.0178,281.472
consph.mtx,83334,83334,6010480,csr vector,4902,544,0.18473,4.54248e-07,65.0733,247.458
consph.mtx,83334,83334,6010480,coo seg,2763,544,0.14121,4.85317e-07,85.1285,480.089
consph.mtx,83334,83334,6010480,coo flat,10435,576,1.10121,4.37861e-07,10.9161,61.5625
consph.mtx,83334,83334,6010480,csr scalar,145,576,0.167834,2.29764e-07,71.6243,272.37
consph.mtx,83334,83334,6010480,csr vector,4630,576,0.178688,4.54248e-07,67.2735,255.825
consph.mtx,83334,83334,6010480,coo seg,2609,576,0.138342,4.85317e-07,86.8928,490.039
consph.mtx,83334,83334,6010480,coo flat,9886,608,1.08227,4.43892e-07,11.1072,62.6401
consph.mtx,83334,83334,6010480,csr scalar,138,608,0.178893,2.29764e-07,67.1964,255.532
consph.mtx,83334,83334,6010480,csr vector,4386,608,0.17664,4.54248e-07,68.0534,258.791
consph.mtx,83334,83334,6010480,coo seg,2472,608,0.135475,4.85317e-07,88.7318,500.411
consph.mtx,83334,83334,6010480,coo flat,9392,640,1.07612,4.48227e-07,11.1706,62.9977
consph.mtx,83334,83334,6010480,csr scalar,131,640,0.186163,2.29764e-07,64.5722,245.553
consph.mtx,83334,83334,6010480,csr vector,4167,640,0.170086,4.54248e-07,70.6756,268.763
consph.mtx,83334,83334,6010480,coo seg,2348,640,0.132915,4.85317e-07,90.4408,510.049
consph.mtx,83334,83334,6010480,coo flat,8945,672,1.04776,4.51988e-07,11.473,64.7032
consph.mtx,83334,83334,6010480,csr scalar,125,672,0.193741,2.29764e-07,62.0466,235.949
consph.mtx,83334,83334,6010480,csr vector,3969,672,0.1664,4.54248e-07,72.2413,274.717
consph.mtx,83334,83334,6010480,coo seg,2237,672,0.130253,4.85317e-07,92.2895,520.474
consph.mtx,83334,83334,6010480,coo flat,8538,704,1.13613,4.10603e-07,10.5806,59.6704
consph.mtx,83334,83334,6010480,csr scalar,119,704,0.183501,2.29764e-07,65.509,249.116
consph.mtx,83334,83334,6010480,csr vector,3788,704,0.199987,4.54248e-07,60.1087,228.579
consph.mtx,83334,83334,6010480,coo seg,2135,704,0.155648,4.85317e-07,77.2317,435.555
consph.mtx,83334,83334,6010480,coo flat,8167,736,1.13418,4.10639e-07,10.5988,59.7728
consph.mtx,83334,83334,6010480,csr scalar,114,736,0.162406,2.29764e-07,74.0178,281.472
consph.mtx,83334,83334,6010480,csr vector,3624,736,0.196813,4.54248e-07,61.0781,232.266
consph.mtx,83334,83334,6010480,coo seg,2042,736,0.15319,4.85317e-07,78.4707,442.542
consph.mtx,83334,83334,6010480,coo flat,7827,768,1.12691,4.19554e-07,10.6672,60.1584
consph.mtx,83334,83334,6010480,csr scalar,109,768,0.167014,2.29764e-07,71.9756,273.706
consph.mtx,83334,83334,6010480,csr vector,3473,768,0.190259,4.54248e-07,63.182,240.266
consph.mtx,83334,83334,6010480,coo seg,1957,768,0.14889,4.85317e-07,80.7374,455.326
consph.mtx,83334,83334,6010480,coo flat,7514,800,1.12968,4.2944e-07,10.6411,60.0112
consph.mtx,83334,83334,6010480,csr scalar,105,800,0.174285,2.29764e-07,68.9731,262.288
consph.mtx,83334,83334,6010480,csr vector,3334,800,0.190362,4.54248e-07,63.148,240.137
consph.mtx,83334,83334,6010480,coo seg,1879,800,0.146944,4.85317e-07,81.8064,461.354
consph.mtx,83334,83334,6010480,coo flat,7225,832,1.11821,4.22008e-07,10.7502,60.6267
consph.mtx,83334,83334,6010480,csr scalar,101,832,0.184422,2.29764e-07,65.1817,247.871
consph.mtx,83334,83334,6010480,csr vector,3206,832,0.185651,4.54248e-07,64.7502,246.23
consph.mtx,83334,83334,6010480,coo seg,1807,832,0.143872,4.85317e-07,83.5531,471.205
consph.mtx,83334,83334,6010480,coo flat,6957,864,1.10756,4.29275e-07,10.8536,61.2096
consph.mtx,83334,83334,6010480,csr scalar,97,864,0.191693,2.29764e-07,62.7095,238.47
consph.mtx,83334,83334,6010480,csr vector,3087,864,0.182579,4.54248e-07,65.8397,250.373
consph.mtx,83334,83334,6010480,coo seg,1740,864,0.141722,4.85317e-07,84.8209,478.355
consph.mtx,83334,83334,6010480,coo flat,6709,896,1.08687,4.32787e-07,11.0601,62.3745
consph.mtx,83334,83334,6010480,csr scalar,94,896,0.203469,2.29764e-07,59.0801,224.668
